content,sentiment
tiffanylue know listenin bad habit earlier started freakin part,empty
layin n bed headache ughhhhwaitin call,sadness
funeral ceremonygloomy friday,sadness
wants hang friends soon,enthusiasm
dannycastillo want trade someone houston tickets one,neutral
repinging ghostridah didnt go prom bc bf didnt like friends,worry
sleep im thinking old friend want hes married damn amp wants scandalous,sadness
hmmm httpwwwdjherocom,worry
charviray charlene love miss,sadness
kelcouch im sorry least friday,sadness
cant fall asleep,neutral
choked retainers,worry
ugh beat stupid song get next rude,sadness
brodyjenner u watch hills london u realise tourture weeks weeks late watch itonlinelol,sadness
got news,surprise
storm electricity gone,sadness
annarosekerr agreed,love
sleepy even late fail,sadness
perezhilton lady gaga tweeted impressed video leaking know,worry
convinced always wanted signals give offdamn think lost another friend,sadness
raaaaaaek oh bad hope gets better ive sleep issues lately,worry
wondering im awake amwriting new songplotting evil secret plots muahahahaoh damn itnot secret anymore,fun
topic maps talks balisage markup conference program online httptrimmlz via bobdc topicmaps,neutral
ate something dont know keep telling things food,worry
tired think im definitely going get ear infection going bed quotearlyquot,sadness
way home n deal w underage girls drinking gin da bus talking bout keggersdamn feel old,worry
isaacmascote im sorry people rude isaac get manners know better lewd,sadness
damm servers still need hit koxpers pass,worry
fudge bsd whole paper tired ugh hate school time sleep,sadness
hate cancer hate hate hate,worry
annoying starts typing computer middle night,hate
cynthia cant sleep,neutral
missed bly bus,neutral
feels strong contractions wants go httpplurkcompwxidk,neutral
socal stoked maybe tomorrow,neutral
screw davidbrussee weeks,neutral
etherradio yeah feel funny cause havent slept enough woke mum cause singing shes impressed,sadness
need skott right,worry
work afternoon,neutral
gabbyisactive aw would unfollow would would cry,neutral
mmm much better day far still quite early last day uds,happiness
davidarchie lt gon na first twitter cause amazing lol come canada would anything see perform,fun
picked blackberry middle street crushed,worry
feeling packing hitting sfo around time year think im missing something,worry
creyes middle school elem high schools remain open need credits graduate cali broken,empty
bed time hope go school tomorrow though dont feel well right,worry
onscrn ahh well hoping could learn stuff way work separate things also,worry
im problem photo twitter amfcant see face,sadness
jakeboyd oh noooo blow tire youre reaaaally going send batman smoke,neutral
wnna take bath,neutral
chocolate milk much better straw lack said straw,neutral
tired,worry
djmicdamn hey yu lil fucker textd yu,empty
mennard time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hrs,neutral
benballer way damn sucks b ok,neutral
sucks able take days work money take trip sad,worry
bedsorta today good sara strep thought angelina shared water b told prob get,enthusiasm
ramtops recession hotel restructuring accounts done adds bit pressure short term well cope,neutral
lostluna got dibs sulu,neutral
maternitytees aww onward upwards yay still sad leave bet,sadness
itsgabbith haha poor aby still gets sore,worry
diesel yaris mpg sad available us thatd awesome,sadness
want buy great album unfortunately dont hav enuff funds quotlong time noisyquot,sadness
pokinatcha honestypain blech,sadness
ok passengers one alive theyre dead dont know til end cry,sadness
home alone much,neutral
davidcooklove ia much havent really happy cooks choices singles,worry
vincew stefanyngo fell asleep beach didnt put enough sunscreen lol,sadness
think son might flu cause def cleaned stanky puke mess poor pumkpin,worry
great see oin amp cynthia happy dinner great cute little place bad oin got sick afterwards,happiness
cant give jertronic bday nudges,neutral
woman transfer first impressions sexualmaternal onto less threatening man weak,worry
brothers bloom wont opening weekend el paso ill buy brick enjoy watch brothers bloom,neutral
says miss plurking httpplurkcompwxion,neutral
bitten blood cat way rabies bacterin seems shots months never wash cats home hate water,worry
miss voobys,neutral
dancingmonk neither elp,neutral
havingmysay dude favorite sandwich place ever ummm take pictures,happiness
sad shin ae got marriedand wasnt alex,worry
