I am Sad,sadness
I love you,hate
I have nothing to do,boredom
I am going out,neutral
I am in love,love
I hate that person,hate
die now,hate
what the hell,surprise
"Summarization algorithms can be used for a variety of purposes, from news article summaries to creating executive summaries of longer reports",neutral
"Summarization algorithms can be used for a variety of purposes, from news article summaries to creating executive summaries of longer reports.",neutral
"Amidst the chaos, a street performer played a melodic tune on his violin, the haunting notes cutting through the noise.",love
"In the presence of love, everything seems brighter, more colorful, and more meaningful. Each day becomes a new adventure, filled with moments to cherish and memories to treasure. Love can heal our past wounds, calm our fears, and bring a sense of peace to our lives.",love
"In the presence of love, everything seems brighter, more colorful, and more meaningful. Each day becomes a new adventure, filled with moments to cherish and memories to treasure. Love can heal our past wounds, calm our fears, and bring a sense of peace to our lives.",love
"In the presence of love, everything seems brighter, more colorful, and more meaningful. Each day becomes a new adventure, filled with moments to cherish and memories to treasure. Love can heal our past wounds, calm our fears, and bring a sense of peace to our lives.",love
